osm_id,osm_type,name,amenity,emergency,social_facility,emergency_social_facility,phone,website,operator,lat,lon,facility_type
8257587510,node,Sai Allergy asthma Eye Children Hospital,hospital,,,,,https://www.allergyasthmaindia.com/saieyecentre,,18.4852917,73.8514295,Hospital
8257680507,node,Sathe Multispeciality Hospital,hospital,,,,,https://www.sathehospital.in/,,18.5067869,73.8037337,Hospital
8266093820,node,"Facethetics - Dental, Facial Cosmetics(BOTOX), & Hair Transplant Clinique",hospital,,,,,https://www.facetheticspune.in/,,18.5136297,73.8285827,Hospital
8266823683,node,DR PATIL'S FACE DENTAL HOSPITAL,hospital,,,,,https://www.facendental.in/facendental,,18.6284608,73.7801267,Hospital
8272614789,node,,hospital,,,,,,,18.5759709,73.8258994,Hospital
8273719055,node,Shree Hospital,hospital,,,,,https://www.shreehospital.com/kharadi,,18.5664237,73.8144112,Hospital
8422532155,node,Rakshak Hospital,hospital,,,,,,,18.6971813,74.1397945,Hospital
8552556595,node,Karan Hospital,hospital,yes,,,,,karann,18.5836745,73.8846483,Hospital
8585616661,node,Life Republic Fire Station,fire_station,,,,,,,18.622011,73.7160677,Fire Station
8792514482,node,Desai Hospital Bhosari,hospital,,,,,,,18.6883618,73.8051864,Hospital
8792514483,node,"SAMARTH HOSPITAL General,Surgical Accident & Maternity hospital",hospital,,,,,,,18.6973265,73.7907283,Hospital
8792514484,node,Choudhary multispeciality Hospital,hospital,,,,,,,18.6815519,73.8254687,Hospital
8806123923,node,Ordnance Factory Hospital,hospital,,,,,,,18.5607785,73.8444489,Hospital
8810721819,node,Kute Hospital,hospital,,,,,,,19.260746,73.9822169,Hospital
8811048175,node,Morya Multispeciality Hospital,hospital,,,,,,,18.4643898,73.8153134,Hospital
8811112959,node,Baramati Hospital,hospital,,,,,,,18.1407754,74.5795266,Hospital
8811131780,node,Mehta Hospital,hospital,,,,,,,18.1633034,74.5876947,Hospital
8811161914,node,Apex Hospital,hospital,,,,,,,18.8464245,73.8919066,Hospital
8811509996,node,"Shingote Multispeciality Hospital ,Prasutigruah",hospital,,,,,,,19.206163,73.8697163,Hospital
8813247692,node,GetWell Multispeciality Hospital,hospital,,,,,,,18.9978336,73.9434479,Hospital
8813266506,node,Indrayani Hospital,hospital,,,,,,,18.7422418,73.6803903,Hospital
8813296677,node,Bhimashankar Hospital and Research Centre,hospital,,,,,,,19.0062215,73.9225629,Hospital
8813297961,node,Dr. Mate Hospital,hospital,,,,,,,19.1169247,73.9752576,Hospital
8813306832,node,Shlok Hospital,hospital,,,,,,,18.3479815,73.8497289,Hospital
8813308596,node,Om Chaitanya Hospital,hospital,,,,,,,19.1844257,74.0991408,Hospital
8813394447,node,Matoshri Ramabai Ambedkar Prasutigriha,hospital,,,,,,,18.502785,73.8500051,Hospital
8813476678,node,Savitribai Phule Meternity Home,hospital,,,,,,,18.5048618,73.8611993,Hospital
